ticker,as_of,insider,position,transaction,shares,value,ownership
META,2026-08-03,KIMMITT ROBERT M,Director,Sale at price 561.56 per share.,500,280780.0,D
META,2026-07-31,ZUCKERBERG MARK,Chief Executive Officer,Stock Gift at price 0.00 per share.,591690,0.0,I
META,2026-07-31,ALFORD PEGGY,Director,Sale at price 543.56 per share.,464,252212.0,I
META,2026-07-27,OLIVAN JAVIER,Chief Operating Officer,Sale at price 607.85 per share.,1466,891108.0,D/I
META,2026-07-20,OLIVAN JAVIER,Chief Operating Officer,Sale at price 645.85 per share.,1466,946816.0,D/I
META,2026-07-13,OLIVAN JAVIER,Chief Operating Officer,Sale at price 660.98 - 661.13 per share.,2163,1429787.0,D/I
META,2026-07-06,OLIVAN JAVIER,Chief Operating Officer,Sale at price 600.00 - 603.14 per share.,5235,3145422.0,D/I
META,2026-07-01,KIMMITT ROBERT M,Director,Sale at price 607.75 per share.,500,303875.0,D
META,2026-06-15,OLIVAN JAVIER,Chief Operating Officer,Sale at price 600.00 per share.,1398,838800.0,D/I
META,2026-06-01,KIMMITT ROBERT M,Director,Sale at price 629.29 per share.,504,317162.0,D
META,2026-06-01,OLIVAN JAVIER,Chief Operating Officer,Sale at price 629.29 per share.,1466,922539.0,D/I
META,2026-05-27,MAHONEY CURTIS J,Officer,Sale at price 609.92 per share.,2079,1268024.0,D
META,2026-05-26,OLIVAN JAVIER,Chief Operating Officer,Sale at price 608.98 per share.,1466,892765.0,D/I
META,2026-05-18,OLIVAN JAVIER,Chief Operating Officer,Sale at price 609.35 per share.,1466,893307.0,D/I
META,2026-05-18,BOSWORTH ANDREW,Chief Technology Officer,Sale at price 604.51 - 611.83 per share.,7847,4769642.0,D
META,2026-05-18,LI SUSAN J.,Chief Financial Officer,Sale at price 604.63 - 618.43 per share.,11322,6904533.0,I
META,2026-05-11,OLIVAN JAVIER,Chief Operating Officer,Sale at price 604.57 per share.,1555,940106.0,D/I
META,2026-05-04,OLIVAN JAVIER,Chief Operating Officer,Sale at price 607.74 per share.,1555,945036.0,D/I
META,2026-05-01,ALFORD PEGGY,Director,Sale at price 614.53 per share.,409,251343.0,I
META,2026-04-27,OLIVAN JAVIER,Chief Operating Officer,Sale at price 670.84 per share.,1555,1043156.0,D/I
META,2026-04-20,OLIVAN JAVIER,Chief Operating Officer,Sale at price 680.09 per share.,1555,1057540.0,D/I
META,2026-04-15,KIMMITT ROBERT M,Director,Sale at price 667.00 per share.,580,386860.0,D
META,2026-04-13,OLIVAN JAVIER,Chief Operating Officer,Sale at price 626.24 - 634.68 per share.,4665,2936559.0,D/I
